Char: v7力		line:  1	Column: 1
Char: s7力		line:  2	Column: 1
Char: d7力		line:  2	Column: 2
Char: k7力		line:  2	Column: 3
Char: j7力		line:  2	Column: 4
Char: g7力		line:  2	Column: 5
Char: f7力		line:  2	Column: 6
Char: j7力		line:  2	Column: 7
Char: a7力		line:  2	Column: 8
Char: s7力		line:  2	Column: 9
Char: d7力		line:  2	Column:10
Char: g7力		line:  2	Column:11
Char: f7力		line:  2	Column:12
Char: j7力		line:  2	Column:13
Char:  7力		line:  2	Column:14
Char: s7力		line:  2	Column:15
Char: g7力		line:  2	Column:16
Char: a		line:  2	Column:17
Char: f		line:  2	Column:18
Char: j		line:  2	Column:19
Char: k		line:  2	Column:20
Char: g		line:  2	Column:21
Char: s		line:  2	Column:22
Char: d		line:  2	Column:23
Char:  		line:  2	Column:24
Char: a		line:  2	Column:25
Char: j		line:  2	Column:26
Char: f		line:  2	Column:27
Char: g		line:  2	Column:28
Char: h		line:  2	Column:29
Char: s		line:  2	Column:30
Char: d		line:  2	Column:31
Char: k		line:  2	Column:32
Char: j		line:  2	Column:33
Char: f		line:  2	Column:34
Char: g		line:  2	Column:35
Char:  		line:  2	Column:36
Char: d		line:  2	Column:37
Char: k		line:  2	Column:38
Char: j		line:  2	Column:39
Char: f		line:  2	Column:40
Char: h		line:  2	Column:41
Char: k		line:  2	Column:42
Char: j		line:  2	Column:43
Char: s		line:  2	Column:44
Char: d		line:  2	Column:45
Char:  		line:  2	Column:46
Char: f		line:  2	Column:47
Char: h		line:  2	Column:48
Char: j		line:  2	Column:49
Char: s		line:  2	Column:50
Char: d		line:  2	Column:51
Char: h		line:  2	Column:52
Char: f		line:  2	Column:53
Char: s		line:  2	Column:54
Char: d		line:  2	Column:55
Char: k		line:  2	Column:56
Char: j		line:  2	Column:57
Char: g		line:  2	Column:58
Char: f		line:  2	Column:59
Char: j		line:  2	Column:60
Char: a		line:  2	Column:61
Char: s		line:  2	Column:62
Char: d		line:  2	Column:63
Char: g		line:  2	Column:64
Char: f		line:  2	Column:65
Char: j		line:  2	Column:66
Char:  		line:  2	Column:67
Char: s		line:  2	Column:68
Char: g		line:  2	Column:69
Char: a		line:  2	Column:70
Char: f		line:  2	Column:71
Char: j		line:  2	Column:72
Char: k		line:  2	Column:73
Char: g		line:  2	Column:74
Char: s		line:  2	Column:75
Char: d		line:  2	Column:76
Char:  		line:  2	Column:77
Char: a		line:  2	Column:78
Char: j		line:  2	Column:79
Char: f		line:  2	Column:80
Char: g		line:  2	Column:81
Char: h		line:  2	Column:82
Char: s		line:  2	Column:83
Char: d		line:  2	Column:84
Char: k		line:  2	Column:85
Char: j		line:  2	Column:86
Char: f		line:  2	Column:87
Char: g		line:  2	Column:88
Char:  		line:  2	Column:89
Char: d		line:  2	Column:90
Char: k		line:  2	Column:91
Char: j		line:  2	Column:92
Char: f		line:  2	Column:93
Char: h		line:  2	Column:94
Char: k		line:  2	Column:95
Char: j		line:  2	Column:96
Char: s		line:  2	Column:97
Char: d		line:  2	Column:98
Char:  		line:  2	Column:99
Char: f		line:  2	Column:100
Char: h		line:  2	Column:101
Char: j		line:  2	Column:102
Char: s		line:  2	Column:103
Char: d		line:  2	Column:104
Char: h		line:  2	Column:105
Char: f		line:  2	Column:106
Char: v		line:  2	Column:107
Char: s		line:  3	Column: 1
Char: d		line:  3	Column: 2
Char: k		line:  3	Column: 3
Char: j		line:  3	Column: 4
Char: g		line:  3	Column: 5
Char: f		line:  3	Column: 6
Char: j		line:  3	Column: 7
Char: a		line:  3	Column: 8
Char: s		line:  3	Column: 9
Char: d		line:  3	Column:10
Char: g		line:  3	Column:11
Char: f		line:  3	Column:12
Char: j		line:  3	Column:13
Char:  		line:  3	Column:14
Char: s		line:  3	Column:15
Char: g		line:  3	Column:16
Char: a		line:  3	Column:17
Char: f		line:  3	Column:18
Char: j		line:  3	Column:19
Char: k		line:  3	Column:20
Char: g		line:  3	Column:21
Char: s		line:  3	Column:22
Char: d		line:  3	Column:23
Char:  		line:  3	Column:24
Char: a		line:  3	Column:25
Char: j		line:  3	Column:26
Char: f		line:  3	Column:27
Char: g		line:  3	Column:28
Char: h		line:  3	Column:29
Char: s		line:  3	Column:30
Char: d		line:  3	Column:31
Char: k		line:  3	Column:32
Char: j		line:  3	Column:33
Char: f		line:  3	Column:34
Char: g		line:  3	Column:35
Char:  		line:  3	Column:36
Char: d		line:  3	Column:37
Char: k		line:  3	Column:38
Char: j		line:  3	Column:39
Char: f		line:  3	Column:40
Char: h		line:  3	Column:41
Char: k		line:  3	Column:42
Char: j		line:  3	Column:43
Char: s		line:  3	Column:44
Char: d		line:  3	Column:45
Char:  		line:  3	Column:46
Char: f		line:  3	Column:47
Char: h		line:  3	Column:48
Char: j		line:  3	Column:49
Char: s		line:  3	Column:50
Char: d		line:  3	Column:51
Char: h		line:  3	Column:52
Char: f		line:  3	Column:53
Char: s		line:  4	Column: 1
Char: d		line:  4	Column: 2
Char: k		line:  4	Column: 3
Char: j		line:  4	Column: 4
Char: g		line:  4	Column: 5
Char: f		line:  4	Column: 6
Char: j		line:  4	Column: 7
Char: a		line:  4	Column: 8
Char: s		line:  4	Column: 9
Char: d		line:  4	Column:10
Char: g		line:  4	Column:11
Char: f		line:  4	Column:12
Char: j		line:  4	Column:13
Char:  		line:  4	Column:14
Char: s		line:  4	Column:15
Char: g		line:  4	Column:16
Char: a		line:  4	Column:17
Char: f		line:  4	Column:18
Char: j		line:  4	Column:19
Char: k		line:  4	Column:20
Char: g		line:  4	Column:21
Char: s		line:  4	Column:22
Char: d		line:  4	Column:23
Char:  		line:  4	Column:24
Char: a		line:  4	Column:25
Char: j		line:  4	Column:26
Char: f		line:  4	Column:27
Char: g		line:  4	Column:28
Char: h		line:  4	Column:29
Char: s		line:  4	Column:30
Char: d		line:  4	Column:31
Char: k		line:  4	Column:32
Char: j		line:  4	Column:33
Char: f		line:  4	Column:34
Char: g		line:  4	Column:35
Char:  		line:  4	Column:36
Char: d		line:  4	Column:37
Char: k		line:  4	Column:38
Char: j		line:  4	Column:39
Char: f		line:  4	Column:40
Char: h		line:  4	Column:41
Char: k		line:  4	Column:42
Char: j		line:  4	Column:43
Char: s		line:  4	Column:44
Char: d7力		line:  4	Column:45
Char:  7力		line:  4	Column:46
Char: f		line:  4	Column:47
Char: h		line:  4	Column:48
Char: j		line:  4	Column:49
Char: s		line:  4	Column:50
Char: d		line:  4	Column:51
Char: h		line:  4	Column:52
Char: f		line:  4	Column:53
Char: s		line:  5	Column: 1
Char: d		line:  5	Column: 2
Char: k		line:  5	Column: 3
Char: j		line:  5	Column: 4
Char: g		line:  5	Column: 5
Char: f		line:  5	Column: 6
Char: j		line:  5	Column: 7
Char: a		line:  5	Column: 8
Char: s		line:  5	Column: 9
Char: d		line:  5	Column:10
Char: g		line:  5	Column:11
Char: f		line:  5	Column:12
Char: j		line:  5	Column:13
Char:  		line:  5	Column:14
Char: s		line:  5	Column:15
Char: g		line:  5	Column:16
Char: a		line:  5	Column:17
Char: f		line:  5	Column:18
Char: j		line:  5	Column:19
Char: k		line:  5	Column:20
Char: g		line:  5	Column:21
Char: s		line:  5	Column:22
Char: d		line:  5	Column:23
Char:  		line:  5	Column:24
Char: a		line:  5	Column:25
Char: j		line:  5	Column:26
Char: f		line:  5	Column:27
Char: g		line:  5	Column:28
Char: h		line:  5	Column:29
Char: s		line:  5	Column:30
Char: d		line:  5	Column:31
Char: k		line:  5	Column:32
Char: j		line:  5	Column:33
Char: f		line:  5	Column:34
Char: g		line:  5	Column:35
Char:  		line:  5	Column:36
Char: d		line:  5	Column:37
Char: k		line:  5	Column:38
Char: j		line:  5	Column:39
Char: f		line:  5	Column:40
Char: h		line:  5	Column:41
Char: k		line:  5	Column:42
Char: j		line:  5	Column:43
Char: s		line:  5	Column:44
Char: d		line:  5	Column:45
Char:  		line:  5	Column:46
Char: f		line:  5	Column:47
Char: h		line:  5	Column:48
Char: j		line:  5	Column:49
Char: s		line:  5	Column:50
Char: d		line:  5	Column:51
Char: h		line:  5	Column:52
Char: f		line:  5	Column:53
Char: s		line:  7	Column: 1
Char: d		line:  7	Column: 2
Char: k		line:  7	Column: 3
Char: j		line:  7	Column: 4
Char: g		line:  7	Column: 5
Char: f		line:  7	Column: 6
Char: j		line:  7	Column: 7
Char: a		line:  7	Column: 8
Char: s		line:  7	Column: 9
Char: d		line:  7	Column:10
Char: g		line:  7	Column:11
Char: f		line:  7	Column:12
Char: j		line:  7	Column:13
Char:  		line:  7	Column:14
Char: s		line:  7	Column:15
Char: g		line:  7	Column:16
Char: a		line:  7	Column:17
Char: f		line:  7	Column:18
Char: j		line:  7	Column:19
Char: k		line:  7	Column:20
Char: g		line:  7	Column:21
Char: s		line:  7	Column:22
Char: d		line:  7	Column:23
Char:  		line:  7	Column:24
Char: a		line:  7	Column:25
Char: j		line:  7	Column:26
Char: f		line:  7	Column:27
Char: g		line:  7	Column:28
Char: h		line:  7	Column:29
Char: s		line:  7	Column:30
Char: d		line:  7	Column:31
Char: k		line:  7	Column:32
Char: j		line:  7	Column:33
Char: f		line:  7	Column:34
Char: g		line:  7	Column:35
Char:  		line:  7	Column:36
Char: d		line:  7	Column:37
Char: k		line:  7	Column:38
Char: j		line:  7	Column:39
Char: f		line:  7	Column:40
Char: h		line:  7	Column:41
Char: k		line:  7	Column:42
Char: j		line:  7	Column:43
Char: s		line:  7	Column:44
Char: d		line:  7	Column:45
Char:  		line:  7	Column:46
Char: f		line:  7	Column:47
Char: h		line:  7	Column:48
Char: j		line:  7	Column:49
Char: s		line:  7	Column:50
Char: d		line:  7	Column:51
Char: h		line:  7	Column:52
Char: f		line:  7	Column:53
Char: s		line:  8	Column: 1
Char: d		line:  8	Column: 2
Char: k		line:  8	Column: 3
Char: j		line:  8	Column: 4
Char: g		line:  8	Column: 5
Char: f		line:  8	Column: 6
Char: j		line:  8	Column: 7
Char: a		line:  8	Column: 8
Char: s		line:  8	Column: 9
Char: d		line:  8	Column:10
Char: g		line:  8	Column:11
Char: f		line:  8	Column:12
Char: j		line:  8	Column:13
Char:  		line:  8	Column:14
Char: s		line:  8	Column:15
Char: g		line:  8	Column:16
Char: a		line:  8	Column:17
Char: f		line:  8	Column:18
Char: j		line:  8	Column:19
Char: k		line:  8	Column:20
Char: g		line:  8	Column:21
Char: s		line:  8	Column:22
Char: d		line:  8	Column:23
Char:  		line:  8	Column:24
Char: a		line:  8	Column:25
Char: j		line:  8	Column:26
Char: f		line:  8	Column:27
Char: g		line:  8	Column:28
Char: h		line:  8	Column:29
Char: s		line:  8	Column:30
Char: d		line:  8	Column:31
Char: k		line:  8	Column:32
Char: j		line:  8	Column:33
Char: f		line:  8	Column:34
Char: g		line:  8	Column:35
Char:  		line:  8	Column:36
Char: d		line:  8	Column:37
Char: k		line:  8	Column:38
Char: j		line:  8	Column:39
Char: f		line:  8	Column:40
Char: h		line:  8	Column:41
Char: k		line:  8	Column:42
Char: j		line:  8	Column:43
Char: s		line:  8	Column:44
Char: d		line:  8	Column:45
Char:  		line:  8	Column:46
Char: f		line:  8	Column:47
Char: h		line:  8	Column:48
Char: j		line:  8	Column:49
Char: s		line:  8	Column:50
Char: d		line:  8	Column:51
Char: h		line:  8	Column:52
Char: f		line:  8	Column:53
Char: s		line:  9	Column: 1
Char: d		line:  9	Column: 2
Char: k		line:  9	Column: 3
Char: j		line:  9	Column: 4
Char: g		line:  9	Column: 5
Char: f		line:  9	Column: 6
Char: j		line:  9	Column: 7
Char: a		line:  9	Column: 8
Char: s		line:  9	Column: 9
Char: d		line:  9	Column:10
Char: g		line:  9	Column:11
Char: f		line:  9	Column:12
Char: j		line:  9	Column:13
Char:  		line:  9	Column:14
Char: s		line:  9	Column:15
Char: g		line:  9	Column:16
Char: a		line:  9	Column:17
Char: f		line:  9	Column:18
Char: j		line:  9	Column:19
Char: k		line:  9	Column:20
Char: g		line:  9	Column:21
Char: s		line:  9	Column:22
Char: d		line:  9	Column:23
Char:  		line:  9	Column:24
Char: a		line:  9	Column:25
Char: j		line:  9	Column:26
Char: f		line:  9	Column:27
Char: g		line:  9	Column:28
Char: h		line:  9	Column:29
Char: s		line:  9	Column:30
Char: d		line:  9	Column:31
Char: k		line:  9	Column:32
Char: j		line:  9	Column:33
Char: f		line:  9	Column:34
Char: g		line:  9	Column:35
Char:  		line:  9	Column:36
Char: d		line:  9	Column:37
Char: k		line:  9	Column:38
Char: j		line:  9	Column:39
Char: f		line:  9	Column:40
Char: h		line:  9	Column:41
Char: k		line:  9	Column:42
Char: j		line:  9	Column:43
Char: s		line:  9	Column:44
Char: d		line:  9	Column:45
Char:  		line:  9	Column:46
Char: f		line:  9	Column:47
Char: h		line:  9	Column:48
Char: j		line:  9	Column:49
Char: s		line:  9	Column:50
Char: d		line:  9	Column:51
Char: h		line:  9	Column:52
Char: f		line:  9	Column:53
Char: s		line: 10	Column: 1
Char: d		line: 10	Column: 2
Char: k		line: 10	Column: 3
Char: j		line: 10	Column: 4
Char: g		line: 10	Column: 5
Char: f		line: 10	Column: 6
Char: j		line: 10	Column: 7
Char: a		line: 10	Column: 8
Char: s		line: 10	Column: 9
Char: d		line: 10	Column:10
Char: g		line: 10	Column:11
Char: f		line: 10	Column:12
Char: j		line: 10	Column:13
Char:  		line: 10	Column:14
Char: s		line: 10	Column:15
Char: g		line: 10	Column:16
Char: a		line: 10	Column:17
Char: f		line: 10	Column:18
Char: j		line: 10	Column:19
Char: k		line: 10	Column:20
Char: g		line: 10	Column:21
Char: s		line: 10	Column:22
Char: d		line: 10	Column:23
Char:  		line: 10	Column:24
Char: a		line: 10	Column:25
Char: j		line: 10	Column:26
Char: f		line: 10	Column:27
Char: g		line: 10	Column:28
Char: h		line: 10	Column:29
Char: s		line: 10	Column:30
Char: d		line: 10	Column:31
Char: k		line: 10	Column:32
Char: j		line: 10	Column:33
Char: f		line: 10	Column:34
Char: g		line: 10	Column:35
Char:  		line: 10	Column:36
Char: d		line: 10	Column:37
Char: k		line: 10	Column:38
Char: j		line: 10	Column:39
Char: f		line: 10	Column:40
Char: h		line: 10	Column:41
Char: k		line: 10	Column:42
Char: j		line: 10	Column:43
Char: s		line: 10	Column:44
Char: d		line: 10	Column:45
Char:  		line: 10	Column:46
Char: f		line: 10	Column:47
Char: h		line: 10	Column:48
Char: j		line: 10	Column:49
Char: s		line: 10	Column:50
Char: d		line: 10	Column:51
Char: h		line: 10	Column:52
Char: f		line: 10	Column:53
Char: s		line: 11	Column: 1
Char: d		line: 11	Column: 2
Char: k		line: 11	Column: 3
Char: j		line: 11	Column: 4
Char: g		line: 11	Column: 5
Char: f		line: 11	Column: 6
Char: j		line: 11	Column: 7
Char: a		line: 11	Column: 8
Char: s		line: 11	Column: 9
Char: d		line: 11	Column:10
Char: g		line: 11	Column:11
Char: f		line: 11	Column:12
Char: j		line: 11	Column:13
Char:  		line: 11	Column:14
Char: s		line: 11	Column:15
Char: g		line: 11	Column:16
Char: a		line: 11	Column:17
Char: f		line: 11	Column:18
Char: j		line: 11	Column:19
Char: k		line: 11	Column:20
Char: g		line: 11	Column:21
Char: s		line: 11	Column:22
Char: d		line: 11	Column:23
Char:  		line: 11	Column:24
Char: a		line: 11	Column:25
Char: j		line: 11	Column:26
Char: f		line: 11	Column:27
Char: g		line: 11	Column:28
Char: h		line: 11	Column:29
Char: s		line: 11	Column:30
Char: d		line: 11	Column:31
Char: k		line: 11	Column:32
Char: j		line: 11	Column:33
Char: f		line: 11	Column:34
Char: g		line: 11	Column:35
Char:  		line: 11	Column:36
Char: d		line: 11	Column:37
Char: k		line: 11	Column:38
Char: j		line: 11	Column:39
Char: f		line: 11	Column:40
Char: h		line: 11	Column:41
Char: k		line: 11	Column:42
Char: j		line: 11	Column:43
Char: s		line: 11	Column:44
Char: d		line: 11	Column:45
Char:  		line: 11	Column:46
Char: f		line: 11	Column:47
Char: h		line: 11	Column:48
Char: j		line: 11	Column:49
Char: s		line: 11	Column:50
Char: d		line: 11	Column:51
Char: h		line: 11	Column:52
Char: f		line: 11	Column:53
Char: s		line: 12	Column: 1
Char: d		line: 12	Column: 2
Char: k		line: 12	Column: 3
Char: j		line: 12	Column: 4
Char: g		line: 12	Column: 5
Char: f		line: 12	Column: 6
Char: j		line: 12	Column: 7
